iter	Passed	Remaining
399	3091	4636
400	3093	4620
401	3095	4604
402	3099	4590
403	3105	4582
404	3107	4565
405	3110	4550
406	3112	4534
407	3114	4519
408	3117	4504
409	3119	4488
410	3121	4473
411	3123	4458
412	3126	4444
413	3129	4429
414	3134	4417
415	3137	4405
416	3140	4390
417	3141	4374
418	3143	4359
419	3154	4356
420	3200	4402
421	3209	4395
422	3211	4380
423	3213	4365
424	3215	4350
425	3217	4335
426	3220	4321
427	3222	4307
428	3224	4292
429	3227	4277
430	3229	4263
431	3232	4250
432	3234	4235
433	3236	4220
434	3238	4205
435	3241	4193
436	3243	4178
437	3245	4164
438	3247	4149
439	3260	4150
440	3264	4138
441	3269	4127
442	3271	4113
443	3273	4099
444	3278	4088
445	3280	4075
446	3282	4061
447	3285	4047
448	3289	4036
449	3294	4026
450	3296	4013
451	3298	3999
452	3300	3985
453	3303	3972
454	3309	3964
455	3312	3951
456	3322	3947
457	3324	3934
458	3326	3921
459	3329	3908
460	3331	3894
461	3333	3881
462	3338	3872
463	3342	3860
464	3345	3848
465	3354	3843
466	3363	3839
467	3366	3826
468	3373	3819
469	3383	3815
470	3395	3813
471	3405	3809
472	3407	3796
473	3411	3785
474	3413	3772
475	3416	3761
476	3418	3748
477	3420	3735
478	3422	3722
479	3425	3710
480	3430	3701
481	3434	3691
482	3440	3682
483	3446	3673
484	3451	3665
485	3456	3655
486	3458	3643
487	3472	3643
488	3476	3632
489	3480	3622
490	3487	3615
491	3489	3603
492	3494	3593
493	3497	3582
494	3501	3572
495	3577	3634
496	3629	3673
497	3661	3690
498	3664	3679
499	3675	3675
500	3679	3665
501	3683	3653
502	3685	3641
503	3695	3636
504	3701	3628
505	3711	3623
506	3715	3612
507	3750	3632
508	3753	3620
509	3765	3617
510	3767	3605
511	3770	3593
512	3772	3580
513	3777	3572
514	3791	3570
515	3800	3564
516	3817	3566
517	3830	3564
518	3833	3553
519	3836	3541
520	3839	3530
521	3841	3517
522	3843	3505
523	3847	3494
524	3850	3483
525	3852	3471
526	3856	3461
527	3859	3449
528	3861	3438
529	3863	3425
530	3867	3415
531	3869	3403
532	3894	3412
533	3900	3403
534	3902	3392
535	3905	3380
536	3908	3369
537	3911	3359
538	3913	3347
539	3915	3335
540	3917	3324
541	3943	3331
542	3947	3322
543	3960	3319
544	3967	3312
545	3971	3302
546	3974	3291
547	3976	3280
548	3979	3268
549	3983	3259
550	3987	3249
551	3990	3238
552	3994	3228
553	3997	3217
554	4005	3211
555	4007	3199
556	4009	3188
557	4013	3179
558	4015	3168
559	4017	3156
560	4019	3145
561	4022	3134
562	4024	3123
563	4026	3112
564	4028	3101
565	4031	3091
566	4033	3080
567	4037	3070
568	4041	3061
569	4043	3050
570	4045	3039
571	4047	3028
572	4052	3019
573	4054	3009
574	4058	2999
575	4060	2989
576	4062	2978
577	4065	2968
578	4067	2957
579	4069	2946
580	4072	2936
581	4074	2926
582	4076	2915
583	4078	2905
584	4080	2895
585	4082	2884
586	4085	2874
587	4087	2864
588	4089	2853
589	4092	2843
590	4094	2833
591	4097	2823
592	4099	2813
593	4101	2803
594	4103	2792
595	4106	2783
596	4108	2773
597	4112	2764
598	4114	2754
599	4117	2744
600	4118	2734
601	4121	2724
602	4123	2714
603	4125	2704
604	4127	2694
605	4129	2685
606	4132	2675
607	4134	2665
608	4136	2655
609	4137	2645
610	4140	2636
611	4144	2627
612	4146	2617
613	4150	2609
614	4153	2599
615	4154	2590
616	4156	2580
617	4158	2570
618	4160	2560
619	4162	2551
620	4164	2541
621	4169	2533
622	4171	2524
623	4173	2514
624	4179	2507
625	4182	2498
626	4184	2489
627	4187	2480
628	4193	2473
629	4220	2478
630	4248	2484
631	4297	2502
632	4302	2494
633	4305	2485
634	4323	2485
635	4334	2480
636	4338	2472
637	4342	2464
638	4355	2460
639	4431	2492
640	4503	2522
641	4522	2521
642	4531	2515
643	4539	2509
644	4561	2510
645	4602	2521
646	4610	2515
647	4612	2505
648	4617	2497
649	4620	2488
650	4623	2478
651	4628	2470
652	4630	2460
653	4632	2450
654	4634	2440
655	4636	2431
656	4638	2421
657	4642	2413
658	4645	2404
659	4647	2394
660	4650	2384
661	4652	2375
662	4654	2365
663	4657	2356
664	4661	2348
665	4663	2338
666	4665	2329
667	4667	2319
668	4669	2310
669	4672	2301
670	4676	2292
671	4678	2283
672	4683	2275
673	4688	2267
674	4693	2260
675	4709	2257
676	4713	2248
677	4720	2241
678	4723	2233
679	4728	2225
680	4732	2216
681	4738	2209
682	4742	2200
683	4763	2200
684	4771	2194
685	4781	2188
686	4783	2179
687	4789	2171
688	4793	2163
689	4801	2157
690	4804	2148
691	4808	2140
692	4812	2132
693	4816	2123
694	4834	2121
695	4836	2112
696	4839	2103
697	4847	2097
698	4851	2089
699	4854	2080
700	4859	2072
701	4861	2063
702	4869	2057
703	4874	2049
704	4878	2041
705	4881	2032
706	4886	2025
707	4889	2016
708	4892	2007
709	4894	1999
710	4897	1990
711	4901	1982
712	4903	1973
713	4921	1971
714	4936	1967
715	4938	1958
716	4940	1949
717	4943	1941
718	4946	1933
719	4948	1924
720	4950	1915
721	4957	1909
722	4960	1900
723	4968	1893
724	4973	1886
725	4976	1878
726	4978	1869
727	4981	1861
728	4984	1852
729	4988	1844
730	4990	1836
731	4995	1829
732	4999	1821
733	5002	1813
734	5006	1804
735	5011	1797
736	5015	1789
737	5017	1781
738	5020	1773
739	5022	1764
740	5024	1756
741	5029	1748
742	5031	1740
743	5035	1732
744	5037	1724
745	5039	1716
746	5041	1707
747	5044	1699
748	5046	1691
749	5048	1682
750	5052	1675
751	5054	1667
752	5057	1659
753	5063	1651
754	5064	1643
755	5068	1636
756	5073	1628
757	5076	1620
758	5078	1612
759	5080	1604
760	5082	1596
761	5085	1588
762	5090	1581
763	5092	1573
764	5106	1568
765	5109	1561
766	5130	1558
767	5154	1557
768	5161	1550
769	5165	1542
770	5179	1538
771	5184	1531
772	5187	1523
773	5192	1516
774	5201	1510
775	5229	1509
776	5238	1503
777	5245	1496
778	5303	1504
779	5309	1497
780	5365	1504
781	5537	1543
782	5546	1537
783	5549	1528
784	5552	1520
785	5559	1513
786	5568	1507
787	5590	1503
788	5612	1501
789	5634	1497
790	5696	1505
791	5706	1498
792	5729	1495
793	5733	1487
794	5735	1478
795	5738	1470
796	5741	1462
797	5790	1465
798	5798	1458
799	5841	1460
800	5847	1452
801	5852	1444
802	5857	1437
803	5861	1428
804	5866	1421
805	5870	1412
806	5874	1404
807	5878	1396
808	5885	1389
809	5888	1381
810	5891	1372
811	5893	1364
812	5896	1356
813	5898	1347
814	5902	1339
815	5908	1332
816	5912	1324
817	5917	1316
818	5921	1308
819	5924	1300
820	5934	1293
821	5936	1285
822	5947	1279
823	5949	1270
824	5951	1262
825	5953	1254
826	5957	1246
827	5961	1238
828	5966	1230
829	5976	1224
830	5983	1216
831	5985	1208
832	5988	1200
833	5991	1192
834	5993	1184
835	5995	1176
836	5997	1167
837	6000	1159
838	6003	1152
839	6007	1144
840	6014	1137
841	6016	1128
842	6018	1120
843	6020	1112
844	6021	1104
845	6024	1096
846	6025	1088
847	6027	1080
848	6029	1072
849	6031	1064
850	6033	1056
851	6035	1048
852	6037	1040
853	6039	1032
854	6041	1024
855	6043	1016
856	6045	1008
857	6047	1000
858	6048	992
859	6051	985
860	6053	977
861	6055	969
862	6057	961
863	6059	953
864	6061	946
865	6063	938
866	6069	931
867	6072	923
868	6074	915
869	6078	908
870	6080	900
871	6082	892
872	6084	885
873	6086	877
874	6088	869
875	6090	862
876	6092	854
877	6094	846
878	6096	839
879	6102	832
880	6105	824
881	6107	817
882	6109	809
883	6111	801
884	6114	794
885	6116	787
886	6120	779
887	6130	773
888	6137	766
889	6139	758
890	6142	751
891	6144	743
892	6168	739
893	6172	731
894	6174	724
895	6176	716
896	6185	710
897	6190	703
898	6195	696
899	6198	688
900	6200	681
901	6204	674
902	6206	666
903	6208	659
904	6210	651
905	6213	644
906	6216	637
907	6221	630
908	6229	623
909	6231	616
910	6236	609
911	6239	602
912	6240	594
913	6242	587
914	6247	580
915	6251	573
916	6253	566
917	6257	558
918	6261	551
919	6267	544
920	6269	537
921	6272	530
922	6277	523
923	6279	516
924	6281	509
925	6285	502
926	6288	495
927	6290	488
928	6292	480
929	6295	473
930	6298	466
931	6300	459
932	6302	452
933	6305	445
934	6307	438
935	6309	431
936	6311	424
937	6314	417
938	6318	410
939	6320	403
940	6322	396
941	6325	389
942	6328	382
943	6331	375
944	6334	368
945	6338	361
946	6341	354
947	6344	348
948	6346	341
949	6348	334
950	6356	327
951	6358	320
952	6361	313
953	6363	306
954	6365	299
955	6367	293
956	6372	286
957	6375	279
958	6382	272
959	6384	266
960	6387	259
961	6389	252
962	6391	245
963	6393	238
964	6395	231
965	6397	225
966	6399	218
967	6402	211
968	6405	204
969	6409	198
970	6415	191
971	6418	184
972	6420	178
973	6422	171
974	6426	164
975	6428	158
976	6431	151
977	6434	144
978	6436	138
979	6440	131
980	6442	124
981	6446	118
982	6450	111
983	6454	104
984	6467	98
985	6471	91
986	6473	85
987	6494	78
988	6504	72
989	6506	65
990	6508	59
991	6510	52
992	6513	45
993	6518	39
994	6520	32
995	6522	26
996	6525	19
997	6527	13
998	6529	6
999	6531	0
