iter	RMSE
153	0.2608122685
154	0.25982595
155	0.2588615787
156	0.2580230255
157	0.257253657
158	0.256418494
159	0.255746108
160	0.2549470098
161	0.2542096371
162	0.2534998521
163	0.2528276536
164	0.2519845699
165	0.2512739514
166	0.2506507461
167	0.2500233983
168	0.2495140385
169	0.2489831268
170	0.2484834268
171	0.2477032058
172	0.247203375
173	0.2467484217
174	0.246302813
175	0.2458749223
176	0.2451443858
177	0.2447177023
178	0.244361066
179	0.2439266245
180	0.2432127093
181	0.242631328
182	0.2422639909
183	0.2418024946
184	0.2414248188
185	0.2410401754
186	0.2407039863
187	0.2403544964
188	0.2400461177
189	0.2397510552
190	0.239518928
191	0.2392497541
192	0.2389349368
193	0.2385462382
194	0.2379733762
195	0.2378322961
196	0.2374390658
197	0.2372493483
198	0.2369756717
199	0.2364047896
200	0.2362346643
201	0.2359179672
202	0.2355539275
203	0.2352826171
204	0.2348229364
205	0.2346038724
206	0.2340666357
207	0.2338433792
208	0.2334204827
209	0.2331838331
210	0.2328340268
211	0.2324007734
212	0.2321771727
213	0.231957365
214	0.2316585798
215	0.2313265218
216	0.2310905974
217	0.2308035817
218	0.2306388396
219	0.2304837821
220	0.2302356449
221	0.230106569
222	0.2299140585
223	0.2296996625
224	0.22953184
225	0.2292262524
226	0.22910602
227	0.2289160916
228	0.2287599573
229	0.2284336785
230	0.2283229713
231	0.2279398884
232	0.2277996791
233	0.2275737728
234	0.2274028421
235	0.2270479862
236	0.2268855069
237	0.2266101503
238	0.2264582184
239	0.2261553376
240	0.2259121533
241	0.2256953342
242	0.2255504171
243	0.2252621785
244	0.2251208318
245	0.224977757
246	0.2248941158
247	0.2246448346
248	0.2243766632
249	0.2240833787
250	0.2239989198
251	0.223924109
252	0.2237976709
253	0.2235796646
254	0.2233441497
255	0.2232322164
256	0.2228825382
257	0.2226586564
258	0.2225425849
259	0.2222165034
260	0.2221137313
261	0.2219514322
262	0.2218091221
263	0.2216585898
264	0.2214828952
265	0.2213122585
266	0.2212762851
267	0.2211720042
268	0.2207865583
269	0.2204259869
270	0.2203659164
271	0.220103301
272	0.2199440359
273	0.2198540358
274	0.2197971198
275	0.2194972241
276	0.2194427762
277	0.2193904887
278	0.2191503466
279	0.2189302565
280	0.218901367
281	0.2185883872
282	0.2185393899
283	0.2182557983
284	0.218167466
285	0.2178607501
286	0.2175727394
287	0.2173797924
288	0.2172163716
289	0.2170425031
290	0.2169577714
291	0.2169154306
292	0.2167497972
293	0.2167243288
294	0.2164625224
295	0.2163107326
296	0.2162238134
297	0.2161242458
298	0.2160284145
299	0.2157805349
300	0.2156896139
301	0.2154591049
302	0.2152778785
303	0.2151987504
304	0.2150413334
305	0.2148307752
306	0.2146591889
307	0.2144913736
308	0.2142885533
309	0.2142662627
310	0.214244821
311	0.2141568258
312	0.214102591
313	0.2140145621
314	0.2139298194
315	0.2138542576
316	0.2136916383
317	0.213611605
318	0.2133847142
319	0.2133075911
320	0.2131620431
321	0.2130143096
322	0.2127784319
323	0.2126394671
324	0.2125857529
325	0.2125418434
326	0.2123335013
327	0.212107285
328	0.2119737117
329	0.2117820146
330	0.2116367537
331	0.2115692383
332	0.2113564763
333	0.2112509233
334	0.2110564113
335	0.2108860773
336	0.2107755381
337	0.2107124012
338	0.2106094535
339	0.2104259539
340	0.2102967403
341	0.2101408559
342	0.2100359896
343	0.2098465078
344	0.2097297495
345	0.2096175141
346	0.2095576182
347	0.2094669495
348	0.2093540622
349	0.2092775877
350	0.2091437628
351	0.2090167832
352	0.2089498385
353	0.2088854147
354	0.2087573463
355	0.2086953086
356	0.2085981232
357	0.2084819403
358	0.2083466875
359	0.2082869008
360	0.2082020327
361	0.2080167896
362	0.2079199282
363	0.2078454178
364	0.2076725626
365	0.2075730195
366	0.2075166804
367	0.2074634512
368	0.2074092129
369	0.2073838254
370	0.2072665709
371	0.2072357123
372	0.2071834634
373	0.2071554889
374	0.20706138
375	0.2069113805
376	0.2068601498
377	0.2067451527
378	0.2066468504
379	0.2065342016
380	0.2064731654
381	0.2064225379
382	0.2063923804
383	0.2063074487
384	0.2061653404
385	0.2060421434
386	0.2059641556
387	0.2059435716
388	0.2058324593
389	0.2057441811
390	0.2056664936
391	0.2055660321
392	0.2054840466
393	0.2054059443
394	0.2053925776
395	0.2053145622
396	0.2051901453
397	0.2051270772
398	0.205032286
399	0.2049599597
400	0.2048824301
401	0.2048683701
402	0.2047894853
403	0.2047184614
404	0.2046262889
405	0.2045423281
406	0.2044174588
407	0.204366855
408	0.2042964206
409	0.2042508351
410	0.2042329243
411	0.2041174766
412	0.2040614853
413	0.2039932172
414	0.2039769026
415	0.2039380731
416	0.2038598314
417	0.2037709935
418	0.2037097411
419	0.2036835072
420	0.2036186676
421	0.2035727539
422	0.2035286815
423	0.203480954
424	0.2034659093
425	0.2033967221
426	0.2033359307
427	0.2032797482
428	0.2032173892
429	0.2031539878
430	0.203054861
431	0.2030410598
432	0.2029925483
433	0.2029366192
434	0.2028675153
435	0.2028149803
436	0.2027769273
437	0.202719608
438	0.2027096477
439	0.2026564755
440	0.2026329742
441	0.202597617
442	0.202504945
443	0.2024605156
444	0.2024456768
445	0.2023670228
446	0.2022799743
447	0.2022679641
448	0.2022035312
449	0.2021673757
450	0.202090166
451	0.2020401399
452	0.2020309419
453	0.2019789925
454	0.2019116834
455	0.201845196
456	0.2017679025
457	0.2016996826
458	0.2016587063
459	0.2015990043
460	0.2015519276
461	0.2014796464
462	0.2014162578
463	0.2013846533
464	0.201303789
465	0.2012942261
466	0.2012448688
467	0.2011991953
468	0.201145581
469	0.2011372691
470	0.2010784494
471	0.2010604523
472	0.2010159944
473	0.2009732468
474	0.2009321421
475	0.200892616
476	0.2008250684
477	0.2007884529
478	0.2007595367
479	0.2006731969
480	0.2005897068
481	0.2005298624
482	0.2004780779
483	0.2004404599
484	0.2004130814
485	0.2003756936
486	0.2003657454
487	0.2003394118
488	0.2002751052
489	0.2002183015
490	0.2001462767
491	0.2001129169
492	0.2001051121
493	0.2000974064
494	0.2000245065
495	0.1999750646
496	0.1999440644
497	0.1999333794
498	0.1998826545
499	0.1998745314
500	0.1998387472
501	0.1997802939
502	0.1997151666
503	0.1996880575
504	0.1996632028
505	0.1996214682
506	0.1995766138
507	0.1995671585
508	0.199534303
509	0.1995195706
510	0.199501606
511	0.1994471453
512	0.1994185451
513	0.1994078763
514	0.1993769479
515	0.1993256085
516	0.1993020873
517	0.1992596831
518	0.1992134695
519	0.1991965156
520	0.1991447548
521	0.199100547
522	0.1990700811
523	0.1990067957
524	0.1989454987
525	0.1989034741
526	0.1988771764
527	0.1988250224
528	0.1987786202
529	0.1987353252
530	0.1987288041
531	0.1986724234
532	0.1986483259
533	0.1985958128
534	0.1985403849
535	0.1985343953
536	0.1985043643
537	0.1984879105
538	0.1984800159
539	0.1984323566
540	0.1984019253
541	0.1983862033
542	0.1983420043
543	0.198305987
544	0.1982651103
545	0.1982303982
546	0.1982247269
547	0.1982146468
548	0.1981742287
549	0.1981524828
550	0.1981149481
551	0.1980879575
552	0.1980807222
553	0.1980662144
554	0.1980230752
555	0.1980157056
556	0.1979761841
557	0.1979395833
558	0.197907416
559	0.1978923714
560	0.1978612245
561	0.1978244605
562	0.1977973464
563	0.1977795322
564	0.1977508335
565	0.1977363127
566	0.197681635
567	0.1976540145
568	0.1976203922
569	0.1975845995
570	0.197548537
571	0.1975344684
572	0.1975174764
573	0.1974908849
574	0.1974588957
575	0.1974240069
576	0.1973874229
577	0.1973664052
578	0.1973589483
579	0.1973389621
580	0.1973246616
581	0.1972990571
582	0.197277344
583	0.1972690343
584	0.1972443979
585	0.1972363607
586	0.197215893
587	0.1972002017
588	0.1971951147
589	0.1971493598
590	0.1971415499
591	0.197121379
592	0.1970886734
593	0.1970835937
594	0.1970387877
595	0.197031184
596	0.1970204979
597	0.1969970869
598	0.196955748
599	0.1969051898
600	0.196874861
601	0.1968703372
602	0.1968352759
603	0.1968224262
604	0.1967917008
605	0.196770013
606	0.1967482569
607	0.1966986581
608	0.1966737063
609	0.1966328633
610	0.196619399
611	0.1965873711
612	0.1965664274
613	0.1965462776
614	0.1965268911
615	0.1965203073
616	0.1964868885
617	0.1964804041
618	0.196461821
619	0.1964450597
620	0.1964200216
621	0.1964013602
622	0.1963834047
623	0.1963709818
624	0.1963526472
625	0.1963381184
626	0.196309536
627	0.1962634207
628	0.1962322327
629	0.1962155973
630	0.1961923492
631	0.1961851215
632	0.1961577432
633	0.1961298834
634	0.196097871
635	0.1960835171
636	0.1960565827
637	0.196039581
638	0.1960130239
639	0.1959858252
640	0.1959691844
641	0.1959458715
642	0.1959308597
643	0.1959098925
644	0.1958889034
645	0.1958855765
646	0.1958817288
647	0.1958561031
648	0.1958290907
649	0.1958141372
650	0.195797991
651	0.1957768223
652	0.195751533
653	0.1957402396
654	0.1957344436
655	0.1956980707
656	0.1956681232
657	0.1956564115
658	0.1956507564
659	0.1956402755
660	0.1956175946
661	0.1955930663
662	0.1955823833
663	0.1955769922
664	0.1955717359
665	0.1955584887
666	0.1955355515
667	0.1955209488
668	0.1955158229
669	0.1954935058
670	0.1954794576
671	0.1954651012
672	0.1954564727
673	0.1954190213
674	0.1954140212
675	0.1954010116
676	0.1953801646
677	0.1953753391
678	0.1953505036
679	0.1953379143
680	0.195324618
681	0.1953174625
682	0.1952993041
683	0.1952946491
684	0.1952737089
685	0.1952680435
686	0.1952354897
687	0.1952124679
688	0.1951901477
689	0.1951768584
690	0.1951641458
691	0.1951424834
692	0.1951203077
693	0.1951161989
694	0.1951041402
695	0.1950846672
696	0.1950697478
697	0.1950499809
698	0.195030587
699	0.1950056919
700	0.1949972094
701	0.1949767514
702	0.1949670448
703	0.1949443646
704	0.194932828
705	0.1948966978
706	0.194888391
707	0.1948694551
708	0.1948614154
709	0.1948314926
710	0.194821
711	0.1948027212
712	0.1947815798
713	0.1947612907
714	0.1947418165
715	0.194734293
716	0.1947270156
717	0.1947199754
718	0.194713164
719	0.1946937806
720	0.1946871904
721	0.1946691891
722	0.1946576917
723	0.194648885
724	0.1946308863
725	0.1946235819
726	0.1946062842
727	0.1945672841
728	0.194557356
729	0.1945509655
730	0.1945379889
731	0.1945224229
732	0.1944852036
733	0.1944783315
734	0.1944665051
735	0.1944600514
736	0.1944245317
737	0.1944127392
738	0.1943788504
739	0.1943617837
740	0.1943408428
741	0.1943247369
742	0.194310908
743	0.1942996396
744	0.1942734078
745	0.1942614712
746	0.1942512267
747	0.1942305009
748	0.1942137325
749	0.1942008189
750	0.1941860907
751	0.1941754747
752	0.1941649234
753	0.1941349813
754	0.1941322291
755	0.1941143849
756	0.1940969514
757	0.1940909374
758	0.1940844711
759	0.194078839
760	0.1940700489
761	0.1940551548
762	0.1940497013
763	0.194043823
764	0.194016259
765	0.1940000166
766	0.1939717699
767	0.1939446906
768	0.1939218837
769	0.1939157824
770	0.1939125322
771	0.1939039015
772	0.1938896527
773	0.1938609012
774	0.1938557689
775	0.1938407107
776	0.1938235422
777	0.1938073125
778	0.1937985913
779	0.1937895443
780	0.1937646945
781	0.1937578742
782	0.1937476715
783	0.193730006
784	0.1937204678
785	0.1936935101
786	0.1936786684
787	0.1936656729
788	0.1936566446
789	0.1936406974
790	0.1936303419
791	0.1936044397
792	0.1935831386
793	0.193572998
794	0.1935642583
795	0.1935574545
796	0.1935428356
797	0.1935314919
798	0.1935184045
799	0.1935067937
800	0.1934836636
801	0.1934741537
802	0.193469286
803	0.1934612938
804	0.1934439293
805	0.1934386775
806	0.1934307671
807	0.1934170543
808	0.1934124876
809	0.1933966032
810	0.1933921787
811	0.1933877069
812	0.1933848358
813	0.1933729977
814	0.1933570908
815	0.1933498073
816	0.1933436028
817	0.1933345087
818	0.1933121243
819	0.1932883979
820	0.1932792393
821	0.1932598945
822	0.1932477746
823	0.1932402296
824	0.193231592
825	0.1932202815
826	0.19321301
827	0.1932058067
828	0.1932033919
829	0.193180741
830	0.1931637055
831	0.1931501131
832	0.1931426599
833	0.1931363102
834	0.1931293869
835	0.1931167716
836	0.1930958754
837	0.1930752314
838	0.1930605137
839	0.193048881
840	0.1930294193
841	0.1930105812
842	0.1930081547
843	0.1929949837
844	0.1929823842
845	0.1929624885
846	0.1929559217
847	0.1929366503
848	0.1929276179
849	0.1929169222
850	0.1929102594
851	0.1928963172
852	0.1928883054
853	0.1928818804
854	0.1928777663
855	0.1928626742
856	0.1928558662
857	0.1928471429
858	0.1928363135
859	0.1928285604
860	0.1928211773
861	0.1928139834
862	0.1928015318
863	0.1927837459
864	0.1927760366
865	0.1927615727
866	0.1927575873
867	0.1927512611
868	0.1927346913
869	0.1927218162
870	0.1927039307
871	0.1926925329
872	0.1926756903
873	0.1926580475
874	0.1926457087
875	0.1926435844
876	0.1926326767
877	0.1926255348
878	0.1926139444
879	0.1925997476
880	0.192597088
881	0.1925934325
882	0.192591003
883	0.1925732093
884	0.1925671724
885	0.1925491339
886	0.1925331704
887	0.1925294205
888	0.1925128446
889	0.1925002818
890	0.1924888876
891	0.1924796712
892	0.1924704636
893	0.1924679342
894	0.1924520862
895	0.1924385546
896	0.1924274271
897	0.1924249622
898	0.192420788
899	0.192410281
900	0.1923956442
901	0.1923839938
902	0.1923697879
903	0.1923625484
904	0.192355844
905	0.1923416142
906	0.192334643
907	0.1923167999
908	0.1923130912
909	0.1923106869
910	0.192303093
911	0.1922975764
912	0.1922854055
913	0.1922788043
914	0.1922726935
915	0.1922593969
916	0.1922570021
917	0.1922518657
918	0.1922462343
919	0.1922347267
920	0.1922293082
921	0.1922243026
922	0.1922186233
923	0.1922129605
924	0.1922067987
925	0.1922015759
926	0.1921906316
927	0.192179571
928	0.1921676267
929	0.1921623032
930	0.1921562044
931	0.1921538821
932	0.1921491685
933	0.1921346351
934	0.192125787
935	0.1921132341
936	0.192101076
937	0.1920892745
938	0.1920835635
939	0.1920721336
940	0.1920606565
941	0.1920553128
942	0.1920530478
943	0.1920475499
944	0.1920455572
945	0.1920400198
946	0.1920308521
947	0.1920260959
948	0.1920149707
949	0.1920100526
950	0.1920006812
951	0.1919901095
952	0.1919857823
953	0.1919758619
954	0.1919652151
955	0.1919631571
956	0.1919537679
957	0.1919455166
958	0.1919413207
959	0.1919371103
960	0.1919349683
961	0.1919299562
962	0.1919181242
963	0.1919076753
964	0.1919005838
965	0.1918902068
966	0.1918831105
967	0.1918803505
968	0.1918700092
969	0.1918599902
970	0.1918580248
971	0.1918488679
972	0.1918466642
973	0.1918369379
974	0.1918350191
975	0.1918265143
976	0.1918170108
977	0.1918122429
978	0.1918089026
979	0.1918005637
980	0.1917986879
981	0.1917920775
982	0.1917875638
983	0.1917828353
984	0.1917782846
985	0.1917746621
986	0.1917620058
987	0.1917563755
988	0.19175172
989	0.191742589
990	0.1917362382
991	0.1917217173
992	0.1917155763
993	0.1917016097
994	0.1916939862
995	0.1916896337
996	0.1916811286
997	0.1916789822
998	0.1916744394
999	0.1916609954
