Row ID,Year,Alumni_National,Alumni_Africa,Alumni_Asia,Alumni_Central_America_And_Caribbean,Alumni_European_Union,Alumni_North_America,Alumni_Oceania,Alumni_Rest_Of_Europe,Alumni_South_America,Alumni_Lain_lain,Prominent_H-index > 50,Prominent_H-Index 30-50,Project_Areas_Biomedical_and_Healthcare_Engineering,Project_Areas_Energy_Security,Project_Areas_Energy_Sustainability,Project_Areas_Natural_Products_Biorefinery_and_Biotechnology,Project_Areas_Next_Generation_Systems_and_Networks,Project_Areas_Smart_Living_and_Sustainable_Cities,Project_Areas_Smart_Manufacturing_and_Materials,Project_Areas_Smart_Mobility,Project_Areas_Smart_Society,Project_Areas_Smart_Transportation,Project_Areas_Sustainable_and_Resilient_Urbanisation,Project_Areas_Water_Security,Scholarship_PHD,Scholarship_Master,Paper_Incentive_No_of_Paper_Staff,Paper_Incentive_Total_Allocation_Staff,Keynote_Speaker_Plenary,Keynote_Speaker_Invited,Citation <100,Citation_100-500,Citation_500-1000,Citation _1000-3000,Citation_3000-5000,Citation_5000-10000,CPF_Per_Academic_Staff,Publication_Review_Paper,Publication_Flagship Journals,Publication_Q1_Q2,Publication_WOS_Indexed_Journal,Publication_Scopus_Index_Journal,Publication_Indexed_Proceeding,Publication_Proceeding,Publication_ResearchBook,Publication_TextBook,Publication_EditedBook,Publication_ResearchBook_Chapter,Publication_OtherArticle_TechnicalPaper,Publication_PolicyPaper,Mention_Negative,Mention_Neutral,Mention_Positive,Conference_International,Conference_National_Include_University_Level,Conference_Summer_School,OUTBOUND_AFRICA,OUTBOUND_ASIA,OUTBOUND_EUROPEAN UNION,OUTBOUND_NORTH AMERICA,OUTBOUND_OCEANIA,OUTBOUND_REST OF EUROPE,OUTBOUND_SOUTH AMERICA,OUTBOUND_CENTRAL AMERICA AND CARIBBEAN,INBOUND_AFRICA,INBOUND_ASIA,INBOUND_EUROPEAN UNION,INBOUND_NORTH AMERICA,INBOUND_OCEANIA,INBOUND_REST OF EUROPE,PARTNERSHIP_AFRICA,PARTNERSHIP_ASIA,PARTNERSHIP_EUROPEAN UNION,PARTNERSHIP_NORTH AMERICA,PARTNERSHIP_OCEANIA,PARTNERSHIP_REST OF EUROPE,PARTNERSHIP_COUNTRY N/A,PARTNERSHIP_NATIONAL,Consultation_Conference_Seminar,Consultation_Consultancy,Consultation_Training_ShortCourses,Score_AR
Row0,2020,4925.0,50.0,99.0,0.0,1.0,4.0,0.0,0.0,0.0,16.0,7.0,42.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,819.0,1999500.0,54.0,171.0,772.0,370.0,44.0,20.0,4.0,3.0,4527745.0,258.0,261.0,1040.0,1731.0,871.0,897.0,617.0,15.0,23.0,0.0,231.0,1849.0,9.0,1.0,45.0,33.0,12.0,10.0,0.0,13.0,216.0,14.0,6.0,3.0,19.0,2.0,0.0,0.0,8.0,10.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,8.0,9.0,12.0,15.0,4.0,39.4
Row1,2021,6942.0,226.0,589.0,1.0,2.0,1.0,0.0,2.0,0.0,6.0,8.0,43.0,29.0,29.0,0.0,32.0,68.0,90.0,52.0,25.0,0.0,0.0,34.0,15.0,38.0,1.0,1027.0,1798000.0,64.0,278.0,673.0,366.0,45.0,20.0,4.0,3.0,4813869.0,283.0,254.0,1239.0,1910.0,561.0,644.0,4.0,28.0,34.0,6.0,320.0,2113.0,8.0,2.0,42.0,59.0,30.0,19.0,0.0,0.0,23.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,13.0,72.0,22.0,10.0,5.0,42.4
Row2,2022,8659.0,275.0,763.0,0.0,0.0,0.0,0.0,4.0,0.0,21.0,8.0,43.0,48.0,68.0,0.0,55.0,81.0,143.0,94.0,34.0,0.0,0.0,93.0,50.0,40.0,7.0,1218.0,1977100.0,55.0,200.0,643.0,361.0,44.0,20.0,4.0,3.0,4089305.0,318.0,283.0,1203.0,1811.0,614.0,682.0,11.0,47.0,42.0,31.0,370.0,1714.0,6.0,0.0,2.0,0.0,29.0,19.0,0.0,16.0,459.0,71.0,11.0,21.0,60.0,6.0,1.0,32.0,71.0,3.0,3.0,4.0,9.0,1.0,37.0,4.0,1.0,0.0,3.0,33.0,119.0,15.0,17.0,10.0,44.5
Row3,2023,7289.0,257.0,849.0,1.0,0.0,1.0,0.0,2.0,0.0,11.0,10.0,45.0,48.0,65.0,2.0,74.0,76.0,106.0,85.0,31.0,1.0,0.0,106.0,63.0,151.0,43.0,354.0,575500.0,72.0,232.0,722.0,350.0,42.0,20.0,4.0,3.0,2854203.0,292.0,205.0,1253.0,1792.0,672.0,829.0,158.0,56.0,18.0,0.0,277.0,1370.0,7.0,0.0,0.0,1.0,26.0,128.0,6.0,24.0,1010.0,84.0,9.0,13.0,85.0,0.0,0.0,9.0,163.0,33.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,189.0,2.0,20.0,16.0,20.0,46.6
Row4,2024,6815.0,265.0,828.0,0.0,1.0,4.0,0.0,4.0,1.0,8.0,10.0,45.0,38.0,17.0,56.0,61.0,54.0,22.0,81.0,7.0,71.0,7.0,134.0,49.0,121.0,38.0,4.0,2800.0,61.0,220.0,641.0,311.0,41.0,19.0,4.0,3.0,1527930.0,288.0,251.0,1184.0,1811.0,680.0,763.0,198.0,37.0,29.0,9.0,300.0,1762.0,8.0,1.0,2.0,3.0,24.0,44.0,2.0,17.0,967.0,52.0,7.0,48.0,117.0,1.0,0.0,0.0,151.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,17.0,15.0,10.0,48.6
