PROJECT_AREAS_ENERGY_SUSTAINABILITY,KEYNOTE_SPEAKER_INVITED,PARTNERSHIP_COUNTRY_N_A,PARTNERSHIP_NATIONAL,PROJECT_AREAS_BIOMEDICAL_AND_HEALTHCARE_ENGINEERING,PROJECT_AREAS_ENERGY_SECURITY,PROJECT_AREAS_NATURAL_PRODUCTS_BIOREFINERY_AND_BIOTECHNOLOGY,PROJECT_AREAS_SMART_LIVING_AND_SUSTAINABLE_CITIES,PROJECT_AREAS_SMART_MANUFACTURING_AND_MATERIALS,PROJECT_AREAS_SUSTAINABLE_AND_RESILIENT_URBANISATION,SCHOLARSHIP_PHD,SCHOLARSHIP_MASTER,CONFERENCE_NATIONAL_INCLUDE_UNIVERSITY_LEVEL,PAPER_INCENTIVE_NO_OF_PAPER_STAFF,SCORE_OVERALL_RANK
29.0,171.0,8,9.0,2.0,2.0,2.0,2.0,2,1.0,11,5,10.0,819,187
29.0,278.0,13,72.0,29.0,29.0,32.0,90.0,52,34.0,38,1,19.0,1027,191
29.0,200.0,33,119.0,48.0,68.0,55.0,143.0,94,93.0,40,7,19.0,1218,203
2.0,232.0,189,2.0,48.0,65.0,74.0,106.0,85,106.0,151,43,128.0,354,188
56.0,220.25,150,50.5,38.0,17.0,61.0,22.0,81,134.0,121,38,44.0,4,181
